,Scheme Code,Scheme Name_x,"Date_x",Net Asset Value_x,"Date_y",Net Asset Value_y
5681,141839,ICICI Prudential S&P BSE Sensex Index Fund - Cumulative Option,19-Jan-2024,23.0526,18-Jan-2024,22.8877
5682,141841,ICICI Prudential S&P BSE Sensex Index Fund - Direct Plan - Cumulative Option,19-Jan-2024,23.3354,18-Jan-2024,23.1685
5683,141842,ICICI Prudential S&P BSE Sensex Index Fund - Direct Plan - IDCW Option,19-Jan-2024,23.3353,18-Jan-2024,23.1684
5684,141840,ICICI Prudential S&P BSE Sensex Index Fund - IDCW Option,19-Jan-2024,23.0532,18-Jan-2024,22.8883
6074,143247,ICICI Prudential S&P BSE 500 ETF,19-Jan-2024,32.8481,18-Jan-2024,32.5181
6075,144947,ICICI Prudential S&P BSE Liquid Rate ETF,19-Jan-2024,1000.0000,18-Jan-2024,1000.0000
6076,139519,ICICI Prudential S&P BSE Midcap Select ETF,19-Jan-2024,142.0051,18-Jan-2024,140.0961
6077,101705,ICICI Prudential S&P BSE Sensex ETF,19-Jan-2024,799.4924,18-Jan-2024,793.7466
6525,149331,ICICI Prudential S&P BSE 500 ETF FOF - Direct Plan - Growth,19-Jan-2024,13.4024,18-Jan-2024,13.2802
6526,149333,ICICI Prudential S&P BSE 500 ETF FOF - Direct Plan - IDCW,19-Jan-2024,13.4022,18-Jan-2024,13.2800
6527,149334,ICICI Prudential S&P BSE 500 ETF FOF - Growth,19-Jan-2024,13.2597,18-Jan-2024,13.1390
6528,149332,ICICI Prudential S&P BSE 500 ETF FOF - IDCW,19-Jan-2024,13.2596,18-Jan-2024,13.1389
